round,label,study,year,journal,accession,repo,access,disease_entities,n_ctcl_patients,modality,whole_transcriptome,scope_verdict,action,blocking_check,priority,notes,evidence_url
5,R5_01,"Najidh/Tensen/Vermeer, improved Sezary cell detection and molecular heterogeneity",2021,Blood 138(24):2539-2554,EGAS00001005229,EGA,controlled,SS,24,EuroFlow multiparameter flow cytometry + FACS-sorted BULK RNA-seq on Sezary subsets,yes but BULK not single-cell,OUT OF SCOPE (bulk),USE AS EGA HANDLE,none,6,"Correctly out of scope - sorted-subset bulk RNA-seq, not scRNA. BUT it is a concrete, confirmed EGA accession for a CTCL cohort, which is the handle the doc lacks: sections 3 lists Srinivas 2024 and Peiffer 2023 as 'EGA (presumed), code not stated'. Search EGA's study browser around this accession and by the Leiden/Essen submitter identities to resolve both guesses. Leiden deposits to EGA as a matter of practice.",https://doi.org/10.1182/blood.2021012286
5,R5_02,"Jonak/Brunner, discordant primary cutaneous B-cell and T-cell lymphoma",2021,Br J Dermatol 185(5):1013,NOT LOCATED,unknown,unknown,composite: MF + primary cutaneous follicle centre lymphoma,1,scRNA-seq + TCR + BCR,yes,LOW INCREMENT,DEFER,Vienna group - expect overlap with GSE173205 family,9,"Confirmed citation (upgrades R4_03). Only dataset found across five rounds carrying BCR sequencing - relevant if the B-cell/TLS axis from Li 2024 is a analysis direction, since your corpus has no BCR anywhere.",https://academic.oup.com/bjd/article/185/5/1013/6600071
5,R5_03,BIO-MUSE prospective MF/SS biomarker study (Lund),2024-ongoing,JMIR Res Protoc 13:e55723 (protocol); NCT04904146,NONE - prospective,none,IPD sharing declared NO,"MF, SS",recruiting,spatial + blood + skin + microbiota + epigenetics,unknown,WATCH ONLY,NO ACTION,none,12,"Lund University, Sweden. Prospective translational cohort with a spatial arm. Protocol states IPD sharing NO, so unlikely ever to be publicly available - but it is the only active prospective CTCL cohort found with a spatial component. Worth a calendar note, not a fetch.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11027051/
5,R5_04,"AXES CLOSED: Japan, Leiden, Copenhagen, King's College London, lymph node compartment",-,-,-,-,-,-,-,-,-,NO NEW COHORTS FOUND,NO ACTION,none,12,"Japan (Sugaya/Miyagaki): output is IHC and serum biomarker work, no scRNA cohort. Leiden (Tensen/Vermeer): bulk/EGA only, see R5_01. Copenhagen (Odum/Buus): Buus 2018 targeted panel, already tracked and already excluded. King's (Whittaker): reviews and bulk genomics, no scRNA cohort. Lymph node: only D5 rindler21 and Dorando 2026 carry LN - the atlas's 1,142 LN cells are not a fixable gap from public data.",-
5,R5_05,Wilcox atlas source databases - NOT NAMED in ASH abstract,2024/2026,Blood 144 Suppl 1:858 (abstract); Blood 2026 blood.2025032507 (paper),-,-,-,"MF, SS",79 (abstract) -> 116 (paper),scRNA + scTCR integration,yes,OPEN QUESTION,READ PAPER METHODS,The ASH abstract states '9 public databases' but does not enumerate them; the published Blood methods section will,0,"Abstract-stage atlas was 581,024 cells / 79 cases (MF=57, SS=22) with 227,064 malignant T cells called by TCR clonotype + inferCNV. Published version grew to >2M cells / 116 patients. The source list is the single highest-value unknown in this whole exercise - it tells you your overlap AND how another team scoped the same landscape.",https://doi.org/10.1182/blood-2024-210072
4,R4_01,"Wang/Wilcox, single-cell atlas of oncogenic programs and immune escape in CTCL",2026,Blood 2026; blood.2025032507 (online 30 Jun 2026),NOT LOCATED,unknown,unknown,"MF, SS, LCT (integrated from 9 public databases)",116,scRNA-seq + scTCR (integrated atlas; Scanpy/harmonypy/InferCNV/Scrublet),yes,BENCHMARK ATLAS - HIGHEST PRIORITY,OBTAIN + BENCHMARK,Compare their 9 source databases against your 10 cohorts; determine whether a harmonized object was deposited,0,"PUBLISHED 30 JUNE 2026 - four weeks after your sweep date. >2 million skin and blood cells from 116 patients: larger in patients than your 170 donor-units (65 of which are HTO pseudo-donors). Built by integrating PUBLIC data, same as yours - so this is a direct overlap, benchmark, and novelty-positioning issue, not just another cohort. Their targetable programs (HDAC, XPO1, CDK9, JAK/CSF1R, IKZF1/IKZF3) and TME findings (exhausted/regulatory T cells, transcriptionally polarized monocytes/macrophages, CAFs) overlap your myeloid/CCC arm directly.",https://doi.org/10.1182/blood.2025032507
4,R4_02,"Li Z et al., SPTCL malignant cells and immune microenvironment",2021,Front Oncol 11:611580,NOT LOCATED,unknown,unknown,SPTCL (pediatric),1,scRNA-seq (matched lesion + peripheral blood + BONE MARROW; HD PB/BM/LN/lung controls),yes,IN SCOPE - ENTITY + COMPARTMENT GAP,CHASE ACCESSION,none,5,"SPTCL absent from corpus. More important: includes BONE MARROW, a compartment your atlas lacks entirely (Skin/Blood/LN only). n=1 but multi-compartment with matched healthy-donor BM. Fudan Children's Hospital, Shanghai. Also the only pediatric case found.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8013729/
4,R4_03,"Jonak et al., discordant primary cutaneous B-cell and T-cell lymphoma",2021,not confirmed,NOT LOCATED,unknown,unknown,MF + primary cutaneous follicle centre lymphoma (composite),1,scRNA-seq,yes,LOW INCREMENT,DEFER,Vienna group - expect overlap with GSE173205 family,9,n=1 composite-lymphoma case; micromilieu-driven immune skewing. Completeness only.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11186597/
4,R4_04,"Cao, Kruglov, Akilov - CD8+ hypopigmented MF: malignant cells or reactive clone?",2024,J Invest Dermatol (per JEADV 2024 commentary),NOT LOCATED,unknown,unknown,hypopigmented MF (CD8+),not stated,scRNA-seq malignant transcriptome panel,LIKELY NO - Akilov group uses targeted panels,VERIFY THEN LIKELY EXCLUDE,VERIFY MODALITY,"Confirm whether whole-transcriptome or targeted; if targeted, same exclusion class as Jiang/Buus",8,Hypopigmented MF variant absent from corpus. Finding is that abundant CD8+ cells are reactive and the malignant clone is a small CD4+ population below routine detection - a malignant-call caveat worth knowing regardless of ingest.,https://onlinelibrary.wiley.com/doi/10.1111/jdv.20263
4,R4_05,"Roelens, Delord, Ram-Wolff, Bagot et al. - Sezary syndrome",unknown,not confirmed,NOT LOCATED,unknown,unknown,SS,not stated,UNRESOLVED - may be CyTOF/bulk rather than scRNA,unknown,UNRESOLVED,VERIFY MODALITY,Determine modality before any further work,9,"Paris/Bagot group, cited by Xue 2022. The French CTCL group (Saint-Louis) is a major clinical centre with no representation in the corpus - worth an author-level check even though this specific paper may not be scRNA.",https://www.nature.com/articles/s41419-022-05323-5
